lemma rank occurrences
el 1 324290118
de 2 194216242
que 3 88561761
en 4 75326913
y 5 69563726
a 6 62661149
ser 7 58528905
uno 8 57772733
no 9 43260617
del 10 32995336
por 11 29498748
estar 12 24724232
con 13 23820456
yo 14 23163538
haber 15 23147389
para 16 22650504
su 17 22329568
este 18 19495773
tu 19 19368533
tener 20 17071735
poder 21 15286055
si 22 14938419
como 23 14865882
al 24 14563466
hacer 25 12730367
ese 26 12220381
ir 27 11471627
todo 28 11217020
mas 29 9799151
o 30 9286664
pero 31 8275668
decir 32 8143399
mi 33 8107594
mucho 34 7621497
saber 35 7460106
querer 36 7009149
ver 37 6934182
bien 38 6601719
otro 39 6583068
sobre 40 6503150
deber 41 5764942
solo 42 5295670
ano 43 4943213
aqui 44 4778226
cuando 45 4609971
asi 46 4455565
ya 47 4438045
tambien 48 4333775
dar 49 4104034
creer 50 3966984
entre 51 3892873
vez 52 3754945
parte 53 3697176
tanto 54 3687987
primero 55 3618010
sin 56 3538558
donde 57 3515880
ahora 58 3483502
dos 59 3361054
dia 60 3339178
pasar 61 3311154
nuevo 62 3269889
alguno 63 3244907
mismo 64 3206355
estado 65 3193207
articulo 66 3143298
nuestro 67 3142373
algo 68 3116070
quien 69 2998293
pais 70 2886394
hasta 71 2824994
encontrar 72 2817328
hablar 73 2806226
tiempo 74 2791189
trabajo 75 2727389
desde 76 2651654
bueno 77 2607275
comision 78 2565966
acuerdo 79 2557659
nada 80 2544983
porque 81 2496182
persona 82 2406569
hombre 83 2377383
general 84 2376521
dejar 85 2315378
sentir 86 2300481
esperar 87 2297936
miembro 88 2272169
llevar 89 2251032
cosa 90 2245454
venir 91 2243652
vida 92 2240155
seguir 93 2231106
pensar 94 2210141
necesitar 95 2203274
e 96 2189920
mejor 97 2180693
lugar 98 2137298
durante 99 2133916
derecho 100 2111970
tomar 101 2106696
caso 102 2094278
entonces 103 2067506
llegar 104 2065791
consejo 105 2047727
casa 106 2040251
despues 107 2030768
mujer 108 2015474
antes 109 2007368
programa 110 2006571
senor 111 2002927
cada 112 1991378
buen 113 1970635
cual 114 1960677
volver 115 1917534
usted 116 1909098
medio 117 1885555
tipo 118 1867815
grupo 119 1850773
servicio 120 1839041
forma 121 1835743
parecer 122 1827731
contra 123 1807763
poco 124 1794538
poner 125 1789069
desarrollo 126 1788369
favor 127 1788003
gran 128 1776902
internacional 129 1765449
tal 130 1736322
ni 131 1732356
quedar 132 1730542
llamar 133 1729606
nunca 134 1724861
verdad 135 1721018
gracia 136 1710138
sistema 137 1704107
informacion 138 1680236
siempre 139 1676432
conocer 140 1669299
mundo 141 1666538
ultimo 142 1658018
nombre 143 1640251
nacional 144 1621691
medida 145 1611411
europeo 146 1606788
problema 147 1604262
padre 148 1603907
tratar 149 1573236
tres 150 1570425
hijo 151 1561126
hora 152 1520371
informe 153 1519709
nino 154 1518568
siguiente 155 1504378
segundo 156 1503304
noche 157 1503177
mirar 158 1502850
salir 159 1502101
publico 160 1500066
momento 161 1493443
seguridad 162 1460771
proyecto 163 1455467
gustar 164 1450298
ciudad 165 1442224
menos 166 1439770
punto 167 1408091
incluir 168 1405825
cuenta 169 1404603
actividad 170 1393480
amigo 171 1383603
